# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2021-06-28 12:49:12
# Generated from file: Y:\Ellin\2021\2021-06-05 MB posMS lipids_DHAsublim.slx
# Object Full Name: PCA_06-05-2021_MB_Imaging
# Object ID: 4bc6ff20-b56f-4d2f-8ce6-2354ad0fbddf
# Object type: PCA
# Object creation time: 2021-06-28 12:48:23
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
0;-959401.558858124;6403830.23199681;-65786553.9469189;2411881.22844586;-9966970.67128522
1;1940695.23923026;5027944.76091139;-68142931.7157032;2459569.40690484;-10642440.7506367
2;-5540460.62528329;4773019.90473231;-64875385.0569862;2331061.15074186;-10143868.8328394
3;7772163.83452589;3733099.81531078;-67537273.4498264;2444888.46129505;-9533878.82861109
4;34964630.183495;3551947.21253781;-80768924.7742174;2734886.1920067;-12147102.5638354
5;11673249.9805571;-369582.28741359;-67020580.9362318;1715707.59334;-9322087.9671271
6;5406574.63200518;1748640.60976203;-68381960.472055;1878451.33883066;-10601277.6081533
7;-48795651.7073679;177510.333659828;-43232524.6444279;825975.341884352;-5755060.69315731
8;-76259476.354741;-2490996.77562526;-29739962.7057463;403080.839318419;-2967271.67989702
9;-78138899.5460997;-2963062.64799427;-28296868.584784;268000.922748115;-2539571.25532863
10;-67533497.0711909;-2562574.85604803;-32480913.688987;165078.857145064;-3317004.64639124
11;48541654.5698404;2440247.71843946;-79712121.2887508;2189482.24963679;-11975857.8743255
12;48129190.4801801;2732885.05791864;-78697385.2155595;1599311.08853787;-10707242.3335401
13;77057204.2144277;331621.100723962;-54993695.0905909;-991182.021766992;-3627925.18330095
14;75330284.6163973;6530562.33385294;-74131911.4098065;1374290.18562009;-10202539.9827751
15;57080741.3943841;2410652.80861878;-72346355.3507901;1123872.26463468;-8734689.80427476
16;2002231.68139922;22940871.630568;-35951205.7176489;343133.604986832;-3095659.92769104
17;-40749340.5227772;11069294.2508017;-28544617.5042945;183318.31897018;-2166755.55067331
18;-27570325.1899942;17563676.9429333;-33648627.6636004;252273.305247683;-1960459.96345811
19;-17502634.8749172;11373308.7391933;-34116067.9980157;-696578.756765996;-3332548.36143267
20;19741134.9396788;10203096.4839686;-37893828.4889169;-909467.793470877;-3014869.85140583
21;-24583264.1493451;13533030.4702533;-29755289.2617746;-415982.805756791;-2300108.49757109
22;-56847860.0075206;8196880.27805683;-26260462.7396255;-3465.82696982726;-2602070.61642217
23;-56099137.4016903;6625901.74505884;-30659746.4437274;240405.433238261;-3436234.1463037
24;-22264652.4660015;45173866.5737195;3521218.41296927;-1325012.8889559;4262460.02002147
25;57166862.6172414;-2633698.02592459;-77032181.3446154;1354406.68935734;-8849131.6020491
26;-26865531.5868455;-9468510.81628618;-41900619.3219318;-163290.099075355;-3612942.60525327
27;-52293124.9607369;-2927858.78837154;-39317135.5854157;599232.037137793;-4726504.88942341
28;-35342151.6033992;-3458826.09565948;-43828929.0663486;672044.61161557;-4879254.55037737
